step,traffic_pattern,injection_rate,network_load,throughput,avg_latency,network_latency,unstable,congestion_score,hotspot_detected
1,uniform,0.000582,0.008875,0.00875,50.75,50.75,0,0.32133995148446376,0
2,uniform,0.000732,0.012,0.011875,48.08,47.95,0,0.3118581606682914,0
3,uniform,0.000516,0.007625,0.0075,46.92,46.92,0,0.3184326886302234,0
4,uniform,0.000549,0.00825,0.008125,50.81,50.81,0,0.322796433717648,0
5,uniform,0.001458,0.025562,0.025,48.65,48.21,0,0.31204301479549196,0
6,uniform,0.001283,0.020563,0.02,46.25,46.25,0,0.31671810503582437,0
7,uniform,0.000965,0.015125,0.014687,49.13,49.13,0,0.32648278800339997,0
8,uniform,0.001779,0.031813,0.03125,49.4,49.05,0,0.3048192218074268,0
9,uniform,0.002198,0.039,0.038328,49.46,49.17,0,0.29905389626779594,0
10,uniform,0.002325,0.042438,0.041672,50.99,50.53,0,0.29945182958043237,0
11,uniform,0.001876,0.03275,0.032188,50.76,50.72,0,0.30570673196781256,0
12,uniform,0.002294,0.042438,0.041672,50.99,50.53,0,0.29945182958043237,0
13,uniform,0.001825,0.031813,0.03125,49.4,49.05,0,0.3048192218074268,0
14,uniform,0.001612,0.029,0.028438,50.25,50.07,0,0.3096590629423842,0
15,uniform,0.002507,0.04525,0.044453,52.05,51.44,0,0.29854432542036125,0
16,uniform,0.002581,0.046812,0.045984,49.73,49.21,0,0.2939186361950635,0
17,uniform,0.002732,0.052125,0.051156,51.14,50.65,0,0.29279122530535584,0
18,uniform,0.002679,0.05025,0.04925,50.66,50.16,0,0.29461567140520867,0
19,uniform,0.002673,0.05025,0.04925,50.66,50.16,0,0.29461567140520867,0
20,uniform,0.003126,0.057469,0.056578,51.01,50.67,0,0.28587050984123036,0
21,uniform,0.0029,0.054656,0.053562,49.89,49.33,0,0.29021518655665196,0
22,uniform,0.004127,0.073641,0.072391,52.05,51.1,0,0.2764285697362709,0
23,uniform,0.004477,0.080516,0.07925,52.92,51.96,0,0.2714153489103035,0
24,uniform,0.004117,0.073641,0.072391,52.05,51.1,0,0.2764285697362709,0
25,uniform,0.004179,0.075516,0.074109,52.79,51.79,0,0.27757966590255734,0
26,uniform,0.004137,0.073953,0.072391,52.88,51.96,0,0.28108757379423427,0
27,uniform,0.003907,0.069266,0.068234,52.04,51.25,0,0.2779216777569033,0
28,uniform,0.004281,0.078016,0.076859,56.01,54.75,0,0.27719560488404993,0
29,uniform,0.005237,0.097969,0.095641,53.83,52.99,0,0.26672602079720376,0
30,uniform,0.004984,0.092578,0.090625,56.51,55.79,0,0.2724588399698629,0
31,uniform,0.004751,0.087578,0.085766,56.38,55.42,0,0.27568388329749305,0
32,uniform,0.005388,0.100797,0.098422,54.94,53.71,0,0.2660889251581428,0
33,uniform,0.00539,0.100797,0.098422,54.94,53.71,0,0.2660889251581428,0
34,uniform,0.005141,0.096906,0.094984,57.55,56.27,0,0.269624943486692,0
35,uniform,0.004878,0.090344,0.088328,55.24,54.35,0,0.27331680783149737,0
36,uniform,0.006093,0.114219,0.111,57.87,56.66,0,0.26458947585296577,0
37,uniform,0.006349,0.118844,0.115969,57.1,55.8,0,0.25630990002289794,0
38,uniform,0.006133,0.115141,0.111891,57.11,55.77,0,0.2627891388449326,0
39,uniform,0.005765,0.107969,0.105594,56.54,55.56,0,0.26167842029161664,0
40,uniform,0.005918,0.111406,0.108516,57.96,56.19,0,0.2648039166522133,0
41,uniform,0.006416,0.120453,0.117266,59.21,57.95,0,0.26035581136903185,0
42,uniform,0.005925,0.111406,0.108516,57.96,56.19,0,0.2648039166522133,0
43,uniform,0.007645,0.142563,0.138109,59.85,58.03,0,0.24914695854841587,0
44,uniform,0.008489,0.16225,0.15725,62.76,60.67,0,0.23840334450144854,0
45,uniform,0.007978,0.152953,0.148562,62.04,60.24,0,0.24229702562827765,0
46,uniform,0.007818,0.148172,0.143,60.98,59.29,0,0.25008256134214124,0
47,uniform,0.008381,0.160531,0.156328,63.64,61.73,0,0.23663860969005973,0
48,uniform,0.007521,0.139078,0.135219,59.86,58.52,0,0.24852465043071095,0
49,uniform,0.008225,0.157672,0.153234,60.17,58.17,0,0.23540270312193606,0
50,uniform,0.009594,0.182078,0.176234,64.73,62.11,0,0.22776192221045818,0
51,uniform,0.009644,0.182109,0.175953,64.95,62.27,0,0.22971365390343798,0
52,uniform,0.010462,0.200109,0.194484,74.15,69.52,0,0.22461377620040707,0
53,uniform,0.009825,0.184688,0.1785,67.59,65.18,0,0.2314872116404438,0
54,uniform,0.010459,0.199828,0.193828,72.16,68.19,0,0.22368895969561664,0
55,uniform,0.010468,0.200109,0.194484,74.15,69.52,0,0.22461377620040707,0
56,uniform,0.010438,0.199578,0.193812,72.04,68.1,0,0.22258818127229976,0
57,uniform,0.011543,0.220453,0.213188,73.83,69.54,0,0.21365876485020677,0
58,uniform,0.01201,0.231594,0.223906,74.57,70.31,0,0.20669367693767357,0
59,uniform,0.011923,0.230266,0.22225,73.33,69.34,0,0.2074274736730384,0
60,uniform,0.011686,0.225453,0.218422,76.73,72.39,0,0.21254189591451736,0
61,uniform,0.012429,0.241781,0.231797,77.07,73.43,0,0.21102203286094698,0
62,uniform,0.012231,0.236969,0.229109,77.73,73.08,0,0.20742359838753874,0
63,uniform,0.011711,0.225453,0.218422,76.73,72.39,0,0.21254189591451736,0
64,uniform,0.014727,0.289687,0.275922,90.62,82.58,0,0.2025042501952865,0
65,uniform,0.015467,0.30675,0.289734,108.78,100.52,0,0.22578965947684027,0
