step,traffic_pattern,injection_rate,network_load,throughput,avg_latency,network_latency,unstable,congestion_score,hotspot_detected,hotspot_nodes
1,uniform,0.001039,0.016688,0.01625,47.13,47.13,0,0.32026820885678237,0,
2,uniform,0.001087,0.017625,0.017188,48.51,48.51,0,0.32042621670934796,0,
3,uniform,0.000738,0.012,0.011875,48.08,47.95,0,0.31210733940022223,0,
4,uniform,0.000876,0.014188,0.01375,50.07,50.07,0,0.3304327634256079,0,
5,uniform,0.001203,0.0195,0.019062,47.43,47.43,0,0.31543166710164144,0,
6,uniform,0.000501,0.007,0.006906,47.36,47.36,0,0.31738627621373916,0,
7,uniform,0.001227,0.02025,0.019688,48.63,48.63,0,0.3210963836984321,0,
8,uniform,0.001834,0.031813,0.03125,49.4,49.05,0,0.3050458618212301,0,
9,uniform,0.002034,0.0365,0.035937,48.84,48.51,0,0.29870946607099397,0,
10,uniform,0.002314,0.042438,0.041672,50.99,50.53,0,0.2996635308034029,0,
11,uniform,0.002001,0.035875,0.035016,51.59,51.25,0,0.3105560890293986,0,
12,uniform,0.001734,0.0315,0.031094,48.28,47.93,0,0.2995334849493731,0,
13,uniform,0.001908,0.034,0.033438,51.09,51.03,0,0.3049382536572976,0,
14,uniform,0.002047,0.0365,0.035937,48.84,48.51,0,0.29870946607099397,0,
15,uniform,0.003488,0.062781,0.061547,51.48,50.71,0,0.2863435607528186,0,
16,uniform,0.003224,0.058406,0.057578,52.28,51.76,0,0.28612083968746355,0,
17,uniform,0.003101,0.057469,0.056578,51.01,50.67,0,0.2860717729874458,0,
18,uniform,0.00307,0.057156,0.055875,51.13,50.79,0,0.2924669982216339,0,
19,uniform,0.002863,0.054344,0.053172,50.43,49.98,0,0.29280955360088007,0,
20,uniform,0.003395,0.062156,0.060922,53.19,52.34,0,0.28956397359288266,0,
21,uniform,0.002759,0.052781,0.052016,48.39,47.89,0,0.28482680857055537,0,
22,uniform,0.004443,0.079891,0.078156,53.38,52.72,0,0.2780497459897971,0,
23,uniform,0.004386,0.078953,0.077484,54.63,53.28,0,0.27789784344959917,0,
24,uniform,0.004445,0.079891,0.078156,53.38,52.72,0,0.2780497459897971,0,
25,uniform,0.003945,0.069578,0.068469,50.85,50.06,0,0.2769898998538124,0,
26,uniform,0.004042,0.072703,0.071016,51.64,50.53,0,0.2821729059622366,0,
27,uniform,0.003584,0.064969,0.063672,49.69,48.79,0,0.28225726411620106,0,
28,uniform,0.003592,0.065281,0.064,51.27,50.07,0,0.28410302613591537,0,
29,uniform,0.005104,0.095969,0.093406,56.75,55.15,0,0.2754247993365135,0,
30,uniform,0.005241,0.098266,0.095797,54.01,52.56,0,0.2681523377077956,0,
31,uniform,0.004673,0.086141,0.083812,54.31,53.3,0,0.2794424269060755,0,
32,uniform,0.005152,0.096906,0.094984,57.55,56.27,0,0.26976720201641813,0,
33,uniform,0.004665,0.085516,0.084156,55.17,54.46,0,0.27133209625690685,0,
34,uniform,0.005366,0.100156,0.097609,56.09,54.69,0,0.27013283030123164,0,
35,uniform,0.005336,0.099531,0.096844,54.71,53.58,0,0.2699323473332612,0,
36,uniform,0.006108,0.114531,0.111156,56.51,55.43,0,0.26360247956806243,0,
37,uniform,0.006486,0.121031,0.117359,57.18,55.96,0,0.26052926643094376,0,
38,uniform,0.006314,0.117656,0.115266,57.72,56.48,0,0.254731096835804,0,
39,uniform,0.006269,0.117297,0.114344,56.03,54.76,0,0.25689056442678126,0,
40,uniform,0.006492,0.121031,0.117359,57.18,55.96,0,0.26052926643094376,0,
41,uniform,0.006157,0.115781,0.112594,56.43,55.21,0,0.2607758617799299,0,
42,uniform,0.006263,0.117297,0.114344,56.03,54.76,0,0.25689056442678126,0,
43,uniform,0.008114,0.155094,0.150562,65.83,63.64,0,0.24695743935085965,0,
44,uniform,0.007507,0.138437,0.133437,60.53,58.99,0,0.25788221368254716,0,
45,uniform,0.0077,0.144578,0.139937,61.75,59.58,0,0.25139471401080554,0,
46,uniform,0.007665,0.144063,0.139656,60.43,58.03,0,0.24838539217747918,0,
47,uniform,0.008494,0.16225,0.15725,62.76,60.67,0,0.23847263553599485,0,
48,uniform,0.008196,0.157672,0.153234,60.17,58.17,0,0.2354872955070845,0,
49,uniform,0.008063,0.154234,0.149859,66.04,63.74,0,0.2471154569618218,0,
50,uniform,0.009605,0.182078,0.176234,64.73,62.11,0,0.22780790907234993,0,
51,uniform,0.009517,0.180344,0.174406,63.67,61.52,0,0.2283067413127963,0,
52,uniform,0.010484,0.200109,0.194484,74.15,69.52,0,0.2246055896863643,0,
53,uniform,0.009649,0.182109,0.175953,64.95,62.27,0,0.2297583514991079,0,
54,uniform,0.010466,0.200109,0.194484,74.15,69.52,0,0.2246055896863643,0,
55,uniform,0.00965,0.182109,0.175953,64.95,62.27,0,0.2297583514991079,0,
56,uniform,0.0101,0.190609,0.183766,69.61,66.59,0,0.23245390418968648,0,
57,uniform,0.012243,0.237313,0.229266,79.17,74.04,0,0.21002627273958022,0,
58,uniform,0.012182,0.236281,0.227937,74.94,69.74,0,0.20583838524714368,0,
59,uniform,0.011782,0.226141,0.218344,78.97,74.13,0,0.21863913777426686,0,
60,uniform,0.012378,0.239891,0.231078,79.46,75.14,0,0.21138365906723822,0,
61,uniform,0.011823,0.226641,0.218938,76.11,71.85,0,0.2134706215403244,0,
62,uniform,0.012125,0.234234,0.225391,79.58,75.21,0,0.21679574787044675,0,
63,uniform,0.012453,0.241984,0.233031,76.66,73.03,0,0.205871503958388,0,
64,uniform,0.014884,0.292438,0.279328,89.26,82.45,0,0.19546906216248428,0,
65,uniform,0.014531,0.284953,0.270688,88.7,82.36,0,0.20560133904021086,0,
66,uniform,0.015227,0.299922,0.283984,97.35,88.34,0,0.21087128732567556,0,
67,uniform,0.014631,0.288609,0.274906,90.59,84.24,0,0.20306614936597878,0,
68,uniform,0.014542,0.285344,0.272,89.68,83.81,0,0.2033564653826872,0,
69,uniform,0.01459,0.285875,0.272734,89.89,82.41,0,0.20245082718552365,0,
70,uniform,0.015337,0.303734,0.287562,93.2,85.25,0,0.20194066872353164,0,
71,uniform,0.017793,0.347828,0.329297,116.57,101.54,0,0.2048802673015453,0,
72,uniform,0.017929,0.350859,0.327641,119.94,106.11,0,0.22182304324423574,0,
73,uniform,0.017957,0.349234,0.328188,120.62,106.03,0,0.2175713596347347,0,
74,uniform,0.01783,0.349172,0.327859,116.6,102.53,0,0.2124094147111602,0,
75,uniform,0.017814,0.349094,0.326859,117.45,102.67,0,0.2166418029059835,0,
76,uniform,0.018073,0.34925,0.327062,126.46,107.83,0,0.22991720746469613,0,
77,uniform,0.017789,0.3455,0.325047,115.91,101.15,0,0.21203432672615857,0,
78,uniform,0.019597,0.380437,0.357609,123.92,104.59,0,0.19957579162663125,0,
79,uniform,0.020493,0.393234,0.362781,142.9,121.56,0,0.23846829202495337,0,
80,uniform,0.020371,0.38925,0.355031,143.09,122.29,0,0.25334028809675874,0,
81,transpose,0.001189,0.0195,0.019062,46.84,46.84,0,0.31454331356704834,0,
82,transpose,0.001226,0.02025,0.019688,46.11,46.11,0,0.3173020601269497,0,
83,transpose,0.001283,0.020563,0.02,46.16,46.16,0,0.31682862768310804,0,
84,transpose,0.001273,0.020563,0.02,46.16,46.16,0,0.31682862768310804,0,
85,transpose,0.000771,0.012313,0.012188,50.38,50.26,0,0.3151092956818145,0,
86,transpose,0.000878,0.014188,0.01375,49.02,49.02,0,0.3288517952708236,0,
87,transpose,0.002201,0.039,0.038547,48.06,47.77,0,0.2923883691045982,0,
88,transpose,0.001951,0.034938,0.034484,47.03,46.96,0,0.29511394436864596,0,
89,transpose,0.001758,0.031813,0.03125,47.74,47.42,0,0.30254642645271396,0,
90,transpose,0.002251,0.041188,0.040734,48.4,48.13,0,0.290721375936576,0,
91,transpose,0.001999,0.035875,0.035422,47.8,47.46,0,0.2952458654046891,0,
92,transpose,0.002092,0.037125,0.036672,48.6,48.27,0,0.2951340082028343,0,
93,transpose,0.002892,0.054656,0.053547,49.45,48.74,0,0.2899966646124496,0,
94,transpose,0.002935,0.054969,0.053859,49.9,49.2,0,0.29035295596803395,0,
95,transpose,0.002905,0.054656,0.053547,49.45,48.74,0,0.2899966646124496,0,
